index,Questions,Options,Answer
36,"36. In 1960s, pushed the logical formalism to integrate reasoning with knowledge.",A. Marvin Minsky | B. Alain Colmerauer | C. John McCarthy | D. None of above,Ans: A
37,"37. Sensing organs as input, mechanical movement organs as output and central nervous system (CNS) in brain as control and computing devices is known as of human being",A. Information Control Paradigm | B. Information Processing Paradigm | C. Information Processing Control | D. None of above,Ans: B
38,38.   model were developed and incorporated in machines which mimicked the functionalities of human origin.,A. Functional model | B. Neural model | C. Computational model | D. None of above,Ans: C
39,39. Chomsky’s linguistic computational theory generated a model for syntactic analysis through,A. Regular Grammar | B. Regular Expression | C. Regular Word | D. None of these,Ans: A
40,40. Human to Machine is and Machine to Machine is .,"A. Process, Process | B. Process, Program | C. Program, Hardware | D. Program, Program",Ans: C
41,41. Weak AI is also known as,A. Narrow AI | B. General AI | C. Neural AI | D. None of above,Ans: A
42,42.   AI is able to perform dedicated task.,A. Narrow AI | B. General AI | C. Neural AI | D. None of above,Ans: A
43,43. Narrow AI is performs multiple task at a time.,A. True | B. False,Ans: B
44,44. Weak AI is,A. The embodiment of human intellectual capabilities within a computer. | B. A set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans. | C. The study of mental faculties through the use of mental models implemented on a computer | D. All of the above | E. None of the above,Ans: C
45,45. Strong AI is,A. The embodiment of human intellectual capabilities within a computer. | B. A set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans. | C. The study of mental faculties through the use of mental models implemented on a computer | D. All of the above | E. None of the above,Ans: A
46,46. Artificial intelligence is,A. The embodiment of human intellectual capabilities within a computer. | B. A set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans. | C. The study of mental faculties through the use of mental models implemented on a computer | D. All of the above | E. None of the above,Ans: D
47,47. Apple siri is a good example of AI.,A. Narrow AI | B. General AI | C. Neural AI | D. None of above,Ans: A
48,48. IBM Watson supercomputer comes under AI.,A. Narrow AI | B. General AI | C. Neural AI | D. None of above,Ans: A
49,49.   AI is a type of intelligence which could perform any intellectual task with efficiency like human.,A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: B
50,50. The idea behind AI to make such a system which could be smarter and think like a human by its own.,A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: B
51,51. The worldwide researchers are now focusing on developing machines with AI.,A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: B
52,"52. Playing chess, purchasing suggestions on e-commerce site, self-driving cars, speech recognition, and image recognition are the example of .",A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: A
53,53. Machine can perform any task better than human with cognitive properties is known as    AI.,A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: C
54,"54. Ability to think, puzzle, make judgments, plan, learn, communication by its own is known as AI.",A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: C
55,55. AI is hypothetical concept of AI.,A. Narrow AI | B. General AI | C. Super AI | D. None of above,Ans: C
56,56. Which AI system not store memories or past experiences for future actions.,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: A
57,57. Which machines only focus on current scenarios and react on it as per as possible best action.,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: A
58,58. IBM’s deep blue system is example of .,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: A
59,59. Google Alpha Go is example of .,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: A
60,60. Which can stores past experiences or some data for short period time.,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: B
61,61. Self-driving car is example of .,A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,"Ans: B [Car stores recent speed of nearby cars, distance of others car, speed limit, other information to navigate the road]"
62,"62. Which AI should understand the human emotions, people, and beliefs and be able to interact socially like humans.",A. Reactive machine | B. Limited memory | C. Theory of mind | D. None of above,Ans: C
63,63. Which machines will be smarter than human mind?,A. Reactive machine | B. Limited memory | C. Theory of mind | D. Self-Awareness,Ans: D
64,64.   machines will have their own consciousness and sentiments,A. Reactive machine | B. Theory of mind | C. Self-Awareness | D. Both B & C,Ans: C
65,65. Which is not the commonly used programming language for AI?,A. PROLOG | B. LISP | C. Perl | D. Java script,Ans: C
66,66. What is Machine learning?,A. The autonomous acquisition of knowledge through the use of computer programs | B. The autonomous acquisition of knowledge through the use of manual programs | C. The selective acquisition of knowledge through the use of computer programs | D. The selective acquisition of knowledge through the use of manual programs,Ans: A
67,67 is a branch of science that deals with programing the systems in such a way that they automatically learn and improve with experience,A. Machine Learning | B. Deep Learning | C. Neural Networks | D. None of these,Ans: A
68,"68. Classifying email as a spam, labeling webpages based on their content, voice recognition are the example of .",A. Supervised learning | B. Unsupervised learning | C. Machine learning | D. Deep learning,Ans: A
69,"69. K-means, self-organizing maps, hierarchical clustering are the example of .",A. Supervised learning | B. Unsupervised learning | C. Machine learning | D. Deep learning,Ans: B
70,70. Deep learning is a subfield of machine learning where concerned algorithms are inspired by the structured and function of the brain called .,A. Machine learning | B. Artificial neural networks | C. Deep learning | D. Robotics,Ans: B
71,71. Machine learning invent by .,A. John McCarthy | B. Nicklaus Wirth | C. Joseph Weizenbaum | D. Arthur Samuel,Ans: D
