index,Questions,Options,Answer
35,2. Attorneys and police are encountering progressively more digital evidence in their work.,A. True | B. False,Ans: A
36,3. Video surveillance can be a form of digital evidence.,A. True | B. False,Ans: A
37,4. All forensic examinations should be performed on the original digital evidence.,A. True | B. False,Ans: B
38,5. Digital evidence can be duplicated exactly without any changes to the original data.,A. True | B. False,Ans: B
39,6. Computers were involved in the investigations into both World Trade Center attacks.,A. True | B. False,Ans: A
40,7. Digital evidence is always circumstantial.,A. True | B. False,Ans: B
41,8. Digital evidence alone can be used to build a solid case.,A. True | B. False,Ans: B
42,9. Computers can be used by terrorists to detonate bombs.,A. True | B. False,Ans: A
43,10. The aim of a forensic examination is to prove with certainty what occurred.,A. True | B. False,Ans: B
44,11. Even digital investigations that do not result in legal action can benefit from principles offorensic science.,A. True | B. False,Ans: A
45,12. Forensic science is the application of science to investigation and prosecution of crime or tothe just resolution of conflict.,A. True | B. False,Ans: A
